Cities,Latitude,Temperature(Fahrenheit),Humidity,Cloudiness,Wind Speed(mph)
georgetown,6.8,75.2,100%,75%,4.7
cape town,-33.93,50.0,93%,75%,12.75
dingle,11.0,85.77,72%,32%,11.45
rikitea,-23.12,68.94,100%,76%,22.97
kambove,-10.88,59.67,69%,56%,2.28
busselton,-33.64,58.77,100%,64%,4.97
roald,62.58,52.38,81%,80%,13.87
farkhor,37.49,71.1,42%,0%,3.96
barrow,-38.31,50.31,50%,24%,23.64
pevek,69.7,46.53,95%,36%,11.56
faanui,-16.48,78.39,100%,48%,18.28
hiji,33.37,87.24,79%,75%,2.24
ushuaia,-54.81,41.0,86%,75%,4.7
vila franca do campo,37.72,68.0,82%,20%,4.7
cidreira,-30.17,52.56,98%,36%,16.93
high rock,26.63,84.15,100%,76%,10.89
cayhagan,9.67,86.04,80%,80%,12.46
hovd,63.83,51.8,76%,75%,16.11
port alfred,-33.59,52.47,100%,0%,7.65
hilo,19.71,77.0,90%,90%,3.36
jamestown,-33.21,47.97,94%,92%,3.96
sibolga,1.74,70.83,100%,92%,2.17
lunenburg,42.59,66.72,83%,1%,8.05
kavaratti,10.57,78.12,100%,56%,13.13
new norfolk,-42.78,55.4,47%,20%,6.93
caravelas,-17.73,75.33,100%,76%,8.77
bluff,-23.58,77.58,27%,0%,6.2
katsuura,33.93,89.92,70%,75%,19.46
naze,5.43,73.4,94%,75%,3.4
tautira,-17.73,78.8,57%,75%,10.29
hithadhoo,-0.6,80.37,100%,8%,2.84
ahipara,-35.17,55.53,89%,88%,16.93
hvide sande,56.01,62.6,93%,92%,5.82
tucurui,-3.77,75.96,78%,0%,3.96
lishu,43.31,77.49,87%,68%,7.76
bredasdorp,-34.53,46.4,81%,64%,6.93
tuktoyaktuk,69.44,39.2,86%,75%,10.29
mataura,-46.19,45.54,100%,92%,7.43
upernavik,72.79,40.95,92%,56%,5.53
rokytnice nad jizerou,50.73,57.06,86%,0%,2.62
hermanus,-34.42,46.35,100%,64%,2.95
luderitz,-26.65,49.68,93%,0%,17.72
narsaq,60.91,39.2,69%,20%,4.7
atar,20.52,80.37,59%,8%,2.17
mount pleasant,33.16,76.84,59%,1%,6.31
castro,-42.48,43.83,97%,80%,12.12
saint anthony,43.97,53.92,73%,1%,3.36
atuona,-9.8,80.91,100%,0%,8.88
ponta do sol,-20.63,59.85,65%,64%,4.41
zvishavane,-20.32,50.67,79%,0%,2.62
los llanos de aridane,28.66,71.6,78%,8%,8.05
punta arenas,-53.16,37.4,100%,75%,20.8
kaabong,3.51,55.62,94%,48%,0.04
coquimbo,-29.95,50.0,87%,90%,4.7
hobart,-42.88,55.4,47%,20%,6.93
margate,-43.03,55.4,47%,20%,6.93
kalemie,-5.95,75.51,92%,80%,2.51
geraldton,49.72,59.0,82%,40%,3.36
quthing,-30.4,27.0,87%,0%,2.06
vikhorevka,56.12,64.4,88%,75%,8.95
torbay,47.66,64.4,93%,90%,11.41
chuy,-33.69,41.58,92%,8%,3.4
benxi,41.29,75.2,73%,0%,8.95
tevriz,57.51,58.05,91%,64%,3.51
angoche,-16.23,75.78,100%,20%,2.51
christchurch,-43.53,50.0,81%,36%,13.87
thompson,55.74,50.0,75%,90%,17.22
humaita,-24.93,47.93,90%,0%,3.36
albany,42.65,65.95,72%,75%,9.17
marawi,8.0,84.96,54%,24%,3.62
lebu,8.96,52.56,97%,92%,2.62
tiksi,71.64,45.63,97%,92%,9.1
umm lajj,25.02,75.78,100%,0%,5.08
fort nelson,58.81,48.2,100%,90%,6.93
macas,-2.3,61.11,90%,20%,2.95
port blair,11.67,83.79,94%,56%,16.82
santo domingo,18.48,78.8,88%,20%,4.7
kodiak,39.95,62.06,96%,1%,3.4
souillac,45.6,66.02,77%,0%,4.7
clyde river,70.47,37.4,100%,75%,9.17
yulara,-25.24,62.6,29%,0%,14.99
codrington,-28.95,65.43,59%,0%,3.4
batemans bay,-35.71,57.42,78%,8%,4.18
puerto ayora,-0.74,71.82,100%,0%,13.58
